archive_code,meeting_archive_code,item_number,title,category,recommendation,action_taken_summary,official_url,verification_status,notes
SP-AI-2022-0405-06,SP-MTG-2022-0405,6,Award Professional Services Agreement to PlaceWorks,Contract award,"Award agreement not to exceed $647,971.",,https://meetings.municode.com/adaHtmlDocument/index?cc=BEAUMNTCA&ip=True&me=dd5c44d754554b7a806ab7f2eb72c0ab,reviewed,Foundational design contract.
SP-AI-2022-0816-08,SP-MTG-2022-0816,8,Community Outreach and Survey Results,Public engagement,Receive and file results and provide comments.,,https://meetings.municode.com/adaHtmlDocument/index?cc=BEAUMNTCA&ip=True&me=d37d8523a7504428b92bab6e6f48d8fc,reviewed,Survey results presentation.
SP-AI-2022-1101-I3,SP-MTG-2022-1101,I.3,Stewart Park Improvement Project Update,Design review,Receive update and provide direction.,,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=637,reviewed,Concept alternatives and themed elements.
SP-AI-2023-0620-TBD,SP-MTG-2023-0620,TBD,Stewart Park Design Presentation / Project Update,Design development,Receive presentation and provide direction.,,https://beaumontca.gov/DocumentCenter/View/38700/Stewart-Park-June-2023-Staff-Report,reviewed,30/60 percent design progression.
SP-AI-2023-1121-J1,SP-MTG-2023-1121,J.1,Stewart Park Improvement Project Update,Cost and phasing,Receive update and provide direction.,,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=3141,reviewed,Cost estimate and phased implementation.
SP-AI-2024-0618-A,SP-MTG-2024-0618,TBD,Award Phase I Construction Agreement to Act 1 Construction,Construction award,Award public works agreement.,,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=4589,reviewed,Major construction action.
SP-AI-2024-0618-B,SP-MTG-2024-0618,TBD,First Amendment to PlaceWorks Agreement,Contract amendment,Approve construction administration amendment.,,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=4540,reviewed,Construction administration.
SP-AI-2024-1105-J1,SP-MTG-2024-1105,J.1,Second Amendment to PlaceWorks for NEPA Services,Environmental compliance,Approve amendment for NEPA services.,,https://pub-beaumont.escribemeetings.com/FileStream.ashx?DocumentId=5403,reviewed,NEPA support.
SP-AI-2024-1105-J2,SP-MTG-2024-1105,J.2,Converse Professional Group Geotechnical Services,Professional services,Award geotechnical services agreement.,,https://pub-beaumont.escribemeetings.com/FileStream.ashx?DocumentId=5403,reviewed,Geotechnical support.
SP-AI-2025-0506-J5,SP-MTG-2025-0506,J.5,Stewart Park Phase II and ORLP Grant Pre-Award Process Update,Grant process,Receive update and provide direction.,,https://pub-beaumont.escribemeetings.com/FileStream.ashx?DocumentId=6761,reviewed,Pre-award process.
SP-AI-2025-0603-J11,SP-MTG-2025-0603,J.11,Stewart Park Phase II ORLP Grant Update,Grant preservation,Select Option 1 and pause construction effective June 4.,,https://pub-beaumont.escribemeetings.com/Meeting.aspx?Id=f0fbc3fe-8d21-4382-a457-58dd85cf91ca,reviewed,Construction pause recommendation.
SP-AI-2026-0203-TBD,SP-MTG-2026-0203,TBD,Third Amendment to PlaceWorks Agreement,Professional services,Approve third amendment.,,https://pub-beaumont.escribemeetings.com/Meeting.aspx?Id=fc6fc3fc-cd91-4fd6-a0b3-6a48c8925176,reviewed,Continued services.
SP-AI-2026-0317-J5,SP-MTG-2026-0317,J.5,Stewart Park Update and Discussion,Project update,Receive and file or direct additional action.,,https://pub-beaumont.escribemeetings.com/Meeting.aspx?Id=4d5c25e8-f8e2-43cf-ab09-48b4a7663abf&lang=English,reviewed,Comprehensive update.
SP-AI-2026-0505-TBD,SP-MTG-2026-0505,TBD,Stewart Park Update and Discussion,Project update,Receive current status update.,,https://pub-beaumont.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=e3d73581-b7cd-43e2-9cc6-dda6e508c858&lang=English,reviewed,ORLP status.
SP-AI-2026-0602-TBD,SP-MTG-2026-0602,TBD,Stewart Park Revitalization Project Status Update,State clearance,Receive update regarding grant and project status.,,https://pub-beaumont.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=0a96fb8f-3972-4e14-988c-be8fe52fd96d&lang=English,reviewed,State clearance and restart.
